sexoGenero P21
dataDeNascimento P569
aniversario P3150
localDeNascimento P19
nomeDeNascimento P1477
dataDoFalecimento P570
localDaMorte P20
causaDeMorte P509
modoDeMorte P1196
mortoPor P157
localDoEnterro P119
imagemDaSepultura P1442
nomeNoIdiomaNativo P1559
larAncestral P66
membroDe P463
grupoEtnico P172
idiomaNativo P103
paisDeCidadania P27
educadoEm P69
ocupacao P106
campoDeTrabalho P101
trabalhoNotavel P800
empregador P108
premioRecebido P166
cargoOcupado P39
membroDoPartidoPolitico P102
residencia P551
residenciaOficial P263
religiao P140
orientacaoSexual P91
imagemDoBrasaoDeArmas P94
brasaoDeArmas P237
assinatura P109
orientadorDeDoutorado P184
doutorando P185
alunoDe P1066
estudante P802
pai P22
mae P25
irmao P3373
conjuge P26
parceiro P451
crianca P40
padrasto P3448
parente P1038
padrinho P1290
numeroDeFilhos P1971
membroDaEquipeEsportiva P54
PosicaoJogadaEmEquipeOuEspecialidade P413
registroDeDuplas P555
registroIndividual P564
classificacao P1352
paisParaOEsporte P1532
IdentificacaoDeAtletaDoComiteOlimpicoSueco P2323
IdDoDicionarioDeHistoriadoresDeArte P2332
